,Hospital,Perinatal Level,County,Region,Address,Coordinates
0,Athens Regional Medical Center,2,Clarke,Augusta,"1199 Prince Avenue, Athens, GA 30606","(33.96067055, -83.39945647757811)"
1,Doctor's Hospital,2,Richmond,Augusta,"3651 Wheeler Rd, Augusta, GA 30909","(33.4864304, -82.09452364191654)"
2,Augusta University Medical Center*,3,Richmond,Augusta,"1120 15th St, Augusta, GA 30912","(33.471100050000004, -81.98981674626567)"
3,Saint Mary's Hospital of Athens,2,Clarke,Augusta,"1230 Baxter St, Athens, GA 30606","(33.947457150000005, -83.40529603690919)"
4,Trinity Hospital,2,Richmond,Augusta,"2260 Wrightsboro Rd, Augusta, GA 30904","(33.4663468, -82.01761137895278)"
5,Augusta University Hospital,3,Richmond,Augusta,"1350 Walton Way, Augusta, GA 30901","(33.47126795, -81.98237338609431)"
6,Clearview Regional Medical Center,1,Walton,Augusta,"2151 W Spring St, Monroe, GA 30655","(33.798994199999996, -83.750001905989)"
7,Atlanta Birth Center,Birth Center,Fulton,Atlanta,"1 Baltimore Pl NW, Atlanta, GA 30308","(33.7685997, -84.388118)"
8,Children's Healthcare of Atlanta (Egleston),3,DeKalb,Atlanta,"1405 Clifton Rd, Atlanta, GA 30322","(33.79356545, -84.3198588725491)"
9,Children's Healthcare of Atlanta (Scottish Rite),3,Fulton,Atlanta,"1001 Johnson Ferry Road NE, Sandy Springs, GA 30342","(33.907797, -84.354833)"
10,DeKalb Medical Center (North Decatur),3,DeKaIb,Atlanta,"2701 N Decatur Rd, Decatur, GA 30033","(33.791343499999996, -84.28263311282058)"
11,Emory Johns Creek Hospital,3,John's Creek,Atlanta,"6325 Hospital Pkwy, Johns Creek, GA 30097","(34.0668824, -84.1761616011226)"
12,Emory University Hospital Midtown* *,3,Fulton,Atlanta,"550 Peachtree St NE, Atlanta, GA 30308","(33.77019035, -84.38627771930686)"
13,Fannin Regional Hospital,1,Fannin,Atlanta,"Fannin Regional Hospital, Blue Ridge, GA 30513","(34.91719795, -84.37473885057597)"
14,Floyd Medical Center,3,Floyd,Atlanta,"304 Turner McCall Blvd, Rome, GA 30165","(34.25913855, -85.17835060968241)"
15,Gordon Hospital,1,Gordon,Atlanta,"1035 Red Bud Rd NE, Calhoun, GA 30701","(34.511731939824244, -84.92056500460576)"
16,Grady Memorial Hospital*,3,Fulton,Atlanta,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303","(33.7517323, -84.3820052053816)"
17,Gwinnett Medical Center,3,Gwinnett,Atlanta,"1000 Medical Center Blvd, Lawrenceville, GA 30046","(33.96307405, -84.01768791762677)"
18,Hamilton Medical Center,3,Whitfield,Atlanta,"1200 Memorial Dr, Dalton, GA 30720","(34.788794, -84.983804)"
19,HCA Cartersville Medical Center,1,Bartow,Atlanta,"960 Joe Frank Harris Pkwy SE, Cartersville, GA 30120","(34.19923902860842, -84.79473239363523)"
20,HCA Eastside Medical Center,3,Gwinnett,Atlanta,"1700 Medical Way, Snellville, GA 30078","(33.87739355, -84.02149045111923)"
21,Hutcheson Medical Center,2,Macon,Atlanta,"100 Gross Crescent, Fort Oglethorpe, GA 30742","(34.9472519, -85.2636986)"
22,Northeast Georgia Medical Center (Braselton),2,Hall,Atlanta,"Northeast Georgia Medical Center, Braselton, GA 30517","(34.1206851, -83.83753165280453)"
23,Northeast Georgia Medical Center (Habersham),1,Habersham,Atlanta,"Habersham Medical Center, Demorest, GA 30535","(34.580920000000006, -83.5376563463567)"
24,Northeast Georgia Medical Center (Gainesville),3,Hall,Atlanta,"743 Spring St NE, Gainesville, GA 30501","(34.3044194, -83.8162306544173)"
25,Northside Hospital — Atlanta,3,Fulton,Atlanta,"1000 Johnson Ferry Road NE, Sandy Springs, GA 30342","(33.907961, -84.354838)"
26,Northside Hospital — Cherokee,2,Cherokee,Atlanta,"450 Northside Cherokee Blvd, Canton, GA 30115","(34.22885345, -84.46471166207907)"
27,Northside Hospital — Forsyth,3,Forsyth,Atlanta,"1200 Northside Forsyth Dr, Cumming, GA 30041","(34.177910100000005, -84.14107298135627)"
28,Piedmont Hospital - Atlanta,3,Fulton,Atlanta,"Piedmont Atlanta, Atlanta, GA 30309","(33.7863746, -84.3778819)"
29,Piedmont Fayette Hospital,3,Fayette,Atlanta,"1255 Hwy 54 W, Fayetteville, GA 30214","(33.45314975, -84.5078021547979)"
