Geographic Area Names,Geography,Income in the past 12 months below poverty level!!Female!!18 to 44 years,Income in the past 12 months at or above poverty level!!Female!!18 to 44 years
"Block Group 1, Census Tract 9501, Appling County, Georgia",1400000US13001950100,24.0,104.0
"Block Group 2, Census Tract 9501, Appling County, Georgia",1400000US13001950100,77.0,334.0
"Block Group 1, Census Tract 9502, Appling County, Georgia",1400000US13001950200,193.0,275.0
"Block Group 2, Census Tract 9502, Appling County, Georgia",1400000US13001950200,97.0,137.0
"Block Group 3, Census Tract 9502, Appling County, Georgia",1400000US13001950200,80.0,115.0
"Block Group 1, Census Tract 9503, Appling County, Georgia",1400000US13001950300,99.0,229.0
"Block Group 2, Census Tract 9503, Appling County, Georgia",1400000US13001950300,162.0,375.0
"Block Group 3, Census Tract 9503, Appling County, Georgia",1400000US13001950300,123.0,285.0
"Block Group 4, Census Tract 9503, Appling County, Georgia",1400000US13001950300,139.0,322.0
"Block Group 1, Census Tract 9504, Appling County, Georgia",1400000US13001950400,39.0,115.0
"Block Group 2, Census Tract 9504, Appling County, Georgia",1400000US13001950400,50.0,145.0
"Block Group 1, Census Tract 9505, Appling County, Georgia",1400000US13001950500,101.0,190.0
"Block Group 2, Census Tract 9505, Appling County, Georgia",1400000US13001950500,130.0,243.0
"Block Group 3, Census Tract 9505, Appling County, Georgia",1400000US13001950500,150.0,282.0
"Block Group 1, Census Tract 9601, Atkinson County, Georgia",1400000US13003960100,97.0,126.0
"Block Group 2, Census Tract 9601, Atkinson County, Georgia",1400000US13003960100,108.0,140.0
"Block Group 1, Census Tract 9602, Atkinson County, Georgia",1400000US13003960200,84.0,184.0
"Block Group 2, Census Tract 9602, Atkinson County, Georgia",1400000US13003960200,77.0,169.0
"Block Group 3, Census Tract 9602, Atkinson County, Georgia",1400000US13003960200,169.0,372.0
"Block Group 1, Census Tract 9603, Atkinson County, Georgia",1400000US13003960300,201.0,359.0
"Block Group 1, Census Tract 9701, Bacon County, Georgia",1400000US13005970100,63.0,331.0
"Block Group 2, Census Tract 9701, Bacon County, Georgia",1400000US13005970100,38.0,195.0
"Block Group 3, Census Tract 9701, Bacon County, Georgia",1400000US13005970100,45.0,233.0
"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",1400000US13005970201,130.0,284.0
"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",1400000US13005970201,76.0,168.0
"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",1400000US13005970201,121.0,267.0
"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",1400000US13005970202,140.0,501.0
"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",1400000US13005970202,24.0,86.0
"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",1400000US13005970202,38.0,136.0
"Block Group 1, Census Tract 9601, Baker County, Georgia",1400000US13007960100,27.0,166.0
