Geographic Area Names,Total Female Age 18-44 years,"Total AmericanIndianORAlaskaNative Female, 18-44","Total BlackorAfricanAmerican Female, 18-44","Total HispanicORlatino Female, 18-44","Total White Female, 18-44","Total Asian Female, 18-44","Total NativeHawaiin&OtherPacificIslander Female, 18-44"
"Block Group 1, Census Tract 9502, Appling County, Georgia",468,16.0,167.0,27.0,258.0,0.0,0.0
"Block Group 2, Census Tract 9502, Appling County, Georgia",234,8.0,84.0,13.0,129.0,0.0,0.0
"Block Group 3, Census Tract 9502, Appling County, Georgia",195,7.0,70.0,11.0,108.0,0.0,-1.0
"Block Group 1, Census Tract 9503, Appling County, Georgia",328,0.0,73.0,39.0,206.0,10.0,0.0
"Block Group 2, Census Tract 9503, Appling County, Georgia",537,0.0,120.0,64.0,337.0,16.0,0.0
"Block Group 3, Census Tract 9503, Appling County, Georgia",408,0.0,91.0,49.0,256.0,12.0,0.0
"Block Group 4, Census Tract 9503, Appling County, Georgia",461,0.0,103.0,55.0,289.0,14.0,0.0
"Block Group 1, Census Tract 9504, Appling County, Georgia",154,0.0,13.0,21.0,119.0,0.0,1.0
"Block Group 2, Census Tract 9504, Appling County, Georgia",195,0.0,17.0,27.0,151.0,0.0,0.0
"Block Group 1, Census Tract 9505, Appling County, Georgia",291,0.0,12.0,57.0,223.0,0.0,-1.0
"Block Group 2, Census Tract 9505, Appling County, Georgia",373,0.0,15.0,73.0,285.0,0.0,0.0
"Block Group 3, Census Tract 9505, Appling County, Georgia",432,0.0,17.0,84.0,331.0,0.0,0.0
"Block Group 1, Census Tract 9601, Atkinson County, Georgia",223,0.0,38.0,74.0,111.0,0.0,0.0
"Block Group 2, Census Tract 9601, Atkinson County, Georgia",248,0.0,42.0,82.0,124.0,0.0,0.0
"Block Group 1, Census Tract 9602, Atkinson County, Georgia",268,0.0,55.0,61.0,152.0,0.0,0.0
"Block Group 2, Census Tract 9602, Atkinson County, Georgia",246,0.0,50.0,56.0,139.0,0.0,1.0
"Block Group 3, Census Tract 9602, Atkinson County, Georgia",541,0.0,110.0,124.0,307.0,0.0,0.0
"Block Group 1, Census Tract 9603, Atkinson County, Georgia",560,13.0,0.0,99.0,448.0,0.0,0.0
"Block Group 1, Census Tract 9701, Bacon County, Georgia",394,0.0,7.0,26.0,361.0,0.0,0.0
"Block Group 2, Census Tract 9701, Bacon County, Georgia",233,0.0,4.0,15.0,214.0,0.0,0.0
"Block Group 3, Census Tract 9701, Bacon County, Georgia",278,0.0,5.0,18.0,255.0,0.0,0.0
"Block Group 1, Census Tract 9702.01, Bacon County, Georgia",414,0.0,130.0,0.0,284.0,0.0,0.0
"Block Group 2, Census Tract 9702.01, Bacon County, Georgia",244,0.0,76.0,0.0,168.0,0.0,0.0
"Block Group 3, Census Tract 9702.01, Bacon County, Georgia",388,0.0,122.0,0.0,266.0,0.0,0.0
"Block Group 1, Census Tract 9702.02, Bacon County, Georgia",641,0.0,107.0,93.0,389.0,52.0,0.0
"Block Group 2, Census Tract 9702.02, Bacon County, Georgia",110,0.0,18.0,16.0,67.0,9.0,0.0
"Block Group 3, Census Tract 9702.02, Bacon County, Georgia",174,0.0,29.0,25.0,106.0,14.0,0.0
"Block Group 1, Census Tract 9601, Baker County, Georgia",193,0.0,77.0,17.0,97.0,2.0,0.0
"Block Group 2, Census Tract 9601, Baker County, Georgia",217,0.0,86.0,19.0,109.0,3.0,0.0
"Block Group 1, Census Tract 9602, Baker County, Georgia",129,0.0,10.0,22.0,97.0,0.0,0.0
"Block Group 2, Census Tract 9602, Baker County, Georgia",154,0.0,12.0,26.0,116.0,0.0,0.0
"Block Group 1, Census Tract 9701, Baldwin County, Georgia",515,0.0,237.0,10.0,268.0,0.0,0.0
"Block Group 2, Census Tract 9701, Baldwin County, Georgia",377,0.0,173.0,7.0,196.0,0.0,1.0
"Block Group 3, Census Tract 9701, Baldwin County, Georgia",641,0.0,295.0,13.0,334.0,0.0,-1.0
"Block Group 1, Census Tract 9702, Baldwin County, Georgia",418,0.0,229.0,5.0,180.0,5.0,-1.0
"Block Group 2, Census Tract 9702, Baldwin County, Georgia",535,0.0,293.0,6.0,231.0,6.0,-1.0
"Block Group 3, Census Tract 9702, Baldwin County, Georgia",659,0.0,360.0,7.0,284.0,7.0,1.0
"Block Group 4, Census Tract 9702, Baldwin County, Georgia",211,0.0,115.0,2.0,91.0,2.0,1.0
"Block Group 5, Census Tract 9702, Baldwin County, Georgia",269,0.0,147.0,3.0,116.0,3.0,0.0
"Block Group 1, Census Tract 9703, Baldwin County, Georgia",584,14.0,243.0,16.0,271.0,39.0,1.0
"Block Group 2, Census Tract 9703, Baldwin County, Georgia",882,21.0,367.0,25.0,409.0,60.0,0.0
"Block Group 1, Census Tract 9704, Baldwin County, Georgia",260,1.0,104.0,8.0,145.0,3.0,-1.0
"Block Group 2, Census Tract 9704, Baldwin County, Georgia",246,0.0,98.0,7.0,138.0,3.0,0.0
"Block Group 3, Census Tract 9704, Baldwin County, Georgia",331,1.0,132.0,10.0,185.0,4.0,-1.0
"Block Group 4, Census Tract 9704, Baldwin County, Georgia",13,0.0,5.0,0.0,7.0,0.0,1.0
